school,move,move_season,tier_change,seasons_before,seasons_after,point_margin_per_game_before,point_margin_per_game_after,win_pct_before,win_pct_after,money_years_after,football_revenue_before,football_revenue_after,football_expenses_before,football_expenses_after,point_margin_per_game_change,win_pct_change,football_revenue_change,football_revenue_pct_change,football_expenses_change,football_expenses_pct_change
SMU,American to ACC,2024,up,1,3,23.23076923076923,14.314102564102564,0.8461538461538461,0.7264957264957265,1,31960585.0,45315587.0,31960585.0,45315587.0,-8.916666666666666,-0.11965811965811968,13355002.0,41.78584966451647,13355002.0,41.78584966451647
Oklahoma,Big 12 to SEC,2024,lateral,1,3,20.916666666666664,10.861111111111112,0.8333333333333334,0.6666666666666666,1,124879959.0,126247146.0,65814050.0,71184826.0,-10.055555555555552,-0.16666666666666674,1367187.0,1.0948009680240207,5370776.0,8.16053107201274
Texas,Big 12 to SEC,2024,lateral,1,3,18.615384615384613,18.884615384615383,0.9230769230769232,0.8653846153846154,1,200736464.0,171892714.0,61775571.0,70405628.0,0.26923076923077005,-0.05769230769230782,-28843750.0,-14.368963876936677,8630057.0,13.97001575266702
Army,FBS Independents to American,2024,down,1,3,-0.5833333333333321,13.82905982905983,0.5,0.6153846153846154,0,,,,,14.412393162393162,0.11538461538461542,,,,
Arizona,Pac-12 to Big 12,2024,lateral,1,3,13.500000000000004,5.888888888888889,0.75,0.5833333333333334,1,37131453.0,37795880.0,37131453.0,37795880.0,-7.611111111111114,-0.16666666666666663,664427.0,1.7893913281551357,664427.0,1.7893913281551357
Arizona State,Pac-12 to Big 12,2024,lateral,1,3,-14.083333333333332,9.145299145299147,0.25,0.7264957264957265,1,40162578.0,50352139.0,40162578.0,50352139.0,23.228632478632477,0.47649572649572647,10189561.0,25.3707842160929,10189561.0,25.3707842160929
California,Pac-12 to ACC,2024,lateral,1,3,-1.083333333333332,3.4166666666666656,0.5,0.5833333333333334,1,45082235.0,63954618.0,45082235.0,46721911.0,4.499999999999997,0.08333333333333337,18872383.0,41.862128175322276,1639676.0,3.637077886666444
Colorado,Pac-12 to Big 12,2024,lateral,1,3,-6.666666666666668,0.75,0.3333333333333333,0.5555555555555555,1,64658200.0,69306235.0,38459488.0,42805019.0,7.416666666666668,0.22222222222222215,4648035.0,7.188624180691698,4345531.0,11.29898297138017
Oregon,Pac-12 to Big Ten,2024,lateral,1,3,26.846153846153847,23.051282051282044,0.8461538461538461,0.861111111111111,1,109244128.0,119584907.0,53914776.0,60847472.0,-3.7948717948718027,0.014957264957264904,10340779.0,9.465752703889036,6932696.0,12.858619685260308
Stanford,Pac-12 to ACC,2024,lateral,1,3,-17.083333333333332,-13.388888888888888,0.25,0.3055555555555555,1,33719431.0,35992019.0,33719431.0,35992019.0,3.6944444444444446,0.055555555555555525,2272588.0,6.739698543548971,2272588.0,6.739698543548971
UCLA,Pac-12 to Big Ten,2024,lateral,1,3,7.666666666666668,-1.4722222222222214,0.5833333333333334,0.5555555555555556,1,45783508.0,55205071.0,45783508.0,55205071.0,-9.13888888888889,-0.02777777777777779,9421563.0,20.57850831351761,9421563.0,20.57850831351761
USC,Pac-12 to Big Ten,2024,lateral,1,3,6.916666666666671,13.527777777777777,0.5833333333333334,0.75,1,74868267.0,74014972.0,74868267.0,74014972.0,6.611111111111105,0.16666666666666663,-853295.0,-1.139728531448444,-853295.0,-1.139728531448444
Utah,Pac-12 to Big 12,2024,lateral,1,3,4.75,21.555555555555557,0.6666666666666666,0.75,1,72804610.0,95930953.0,43371848.0,41410554.0,16.805555555555557,0.08333333333333337,23126343.0,31.764943181482604,-1961294.0,-4.522043884318695
