school,move,move_season,tier_change,seasons_before,seasons_after,point_margin_per_game_before,point_margin_per_game_after,win_pct_before,win_pct_after,money_years_after,football_revenue_before,football_revenue_after,football_expenses_before,football_expenses_after,point_margin_per_game_change,win_pct_change,football_revenue_change,football_revenue_pct_change,football_expenses_change,football_expenses_pct_change,role
Arizona,Pac-12 to Big 12,2024,lateral,1,3,13.500000000000004,5.888888888888889,0.75,0.5833333333333334,1,37131453.0,37795880.0,37131453.0,37795880.0,-7.611111111111114,-0.16666666666666663,664427.0,1.7893913281551357,664427.0,1.7893913281551357,left
Arizona State,Pac-12 to Big 12,2024,lateral,1,3,-14.083333333333332,9.145299145299147,0.25,0.7264957264957265,1,40162578.0,50352139.0,40162578.0,50352139.0,23.228632478632477,0.47649572649572647,10189561.0,25.3707842160929,10189561.0,25.3707842160929,left
California,Pac-12 to ACC,2024,lateral,1,3,-1.083333333333332,3.4166666666666656,0.5,0.5833333333333334,1,45082235.0,63954618.0,45082235.0,46721911.0,4.499999999999997,0.08333333333333337,18872383.0,41.862128175322276,1639676.0,3.637077886666444,left
Colorado,Pac-12 to Big 12,2024,lateral,1,3,-6.666666666666668,0.75,0.3333333333333333,0.5555555555555555,1,64658200.0,69306235.0,38459488.0,42805019.0,7.416666666666668,0.22222222222222215,4648035.0,7.188624180691698,4345531.0,11.29898297138017,left
Oregon,Pac-12 to Big Ten,2024,lateral,1,3,26.846153846153847,23.051282051282044,0.8461538461538461,0.861111111111111,1,109244128.0,119584907.0,53914776.0,60847472.0,-3.7948717948718027,0.014957264957264904,10340779.0,9.465752703889036,6932696.0,12.858619685260308,left
Stanford,Pac-12 to ACC,2024,lateral,1,3,-17.083333333333332,-13.388888888888888,0.25,0.3055555555555555,1,33719431.0,35992019.0,33719431.0,35992019.0,3.6944444444444446,0.055555555555555525,2272588.0,6.739698543548971,2272588.0,6.739698543548971,left
UCLA,Pac-12 to Big Ten,2024,lateral,1,3,7.666666666666668,-1.4722222222222214,0.5833333333333334,0.5555555555555556,1,45783508.0,55205071.0,45783508.0,55205071.0,-9.13888888888889,-0.02777777777777779,9421563.0,20.57850831351761,9421563.0,20.57850831351761,left
USC,Pac-12 to Big Ten,2024,lateral,1,3,6.916666666666671,13.527777777777777,0.5833333333333334,0.75,1,74868267.0,74014972.0,74868267.0,74014972.0,6.611111111111105,0.16666666666666663,-853295.0,-1.139728531448444,-853295.0,-1.139728531448444,left
Utah,Pac-12 to Big 12,2024,lateral,1,3,4.75,21.555555555555557,0.6666666666666666,0.75,1,72804610.0,95930953.0,43371848.0,41410554.0,16.805555555555557,0.08333333333333337,23126343.0,31.764943181482604,-1961294.0,-4.522043884318695,left
Washington,Pac-12 to Big Ten,2024,lateral,1,3,14.076923076923077,10.0,1.0,0.7222222222222222,1,127773249.0,121018946.0,75962361.0,68921774.0,-4.076923076923077,-0.2777777777777778,-6754303.0,-5.2861636162981185,-7040587.0,-9.268520497934498,left
Oregon State,Pac-12 (stayed),2024,stranded,1,3,12.333333333333336,-4.416666666666667,0.6666666666666666,0.3055555555555555,1,47424861.0,32621301.0,25813332.0,23847865.0,-16.750000000000004,-0.3611111111111111,-14803560.0,-31.21476729262317,-1965467.0,-7.6141545771774055,stayed
Washington State,Pac-12 (stayed),2024,stranded,1,3,3.5833333333333357,3.3611111111111107,0.4166666666666667,0.49999999999999994,1,57025563.0,38831529.0,20256043.0,22896016.0,-0.22222222222222499,0.08333333333333326,-18194034.0,-31.905049319723506,2639973.0,13.033014394766045,stayed
Boise State,Mountain West to Pac-12,2026,lateral,3,1,11.205128205128204,8.333333333333336,0.7435897435897436,0.6666666666666666,0,41075646.5,,23114087.0,,-2.8717948717948687,-0.07692307692307698,,,,,joined
Colorado State,Mountain West to Pac-12,2026,lateral,3,1,-5.0555555555555545,12.666666666666664,0.4166666666666666,0.6666666666666666,0,19601115.0,,19601115.0,,17.722222222222218,0.25000000000000006,,,,,joined
Fresno State,Mountain West to Pac-12,2026,lateral,3,1,4.555555555555557,7.666666666666668,0.611111111111111,0.6666666666666666,0,18250544.5,,18250544.5,,3.1111111111111107,0.05555555555555558,,,,,joined
San Diego State,Mountain West to Pac-12,2026,lateral,3,1,-0.8055555555555554,0.6666666666666643,0.4444444444444444,0.3333333333333333,0,27520947.5,,22906666.0,,1.4722222222222197,-0.1111111111111111,,,,,joined
Texas State,Sun Belt to Pac-12,2026,lateral,3,1,6.833333333333335,-14.333333333333332,0.5555555555555556,0.3333333333333333,0,17956816.0,,17956816.0,,-21.166666666666668,-0.22222222222222227,,,,,joined
Utah State,Mountain West to Pac-12,2026,lateral,3,1,-0.6944444444444441,-15.666666666666666,0.4444444444444444,0.0,0,17358202.5,,17358202.5,,-14.972222222222221,-0.4444444444444444,,,,,joined
