season,game_id,date,week,team_id,school,conference,opponent_id,opponent,home_away,neutral_site,conference_game,completed,status,points_for,points_against,won,attendance,venue
2025,401760359,2025-08-30 19:30:00+00:00,1,2005,Air Force,Mountain West,2083,Bucknell,home,False,False,True,STATUS_FINAL,49.0,13.0,True,30207,Falcon Stadium
2025,401760368,2025-09-14 01:45:00+00:00,3,2005,Air Force,Mountain West,328,Utah State,away,False,False,True,STATUS_FINAL,30.0,49.0,False,17124,Maverik Stadium
2025,401760372,2025-09-20 23:00:00+00:00,4,2005,Air Force,Mountain West,68,Boise State,home,False,False,True,STATUS_FINAL,37.0,49.0,False,24046,Falcon Stadium
2025,401760378,2025-09-27 20:00:00+00:00,5,2005,Air Force,Mountain West,62,Hawai'i,home,False,False,True,STATUS_FINAL,35.0,44.0,False,22677,Falcon Stadium
2025,401760381,2025-10-04 16:00:00+00:00,6,2005,Air Force,Mountain West,2426,Navy,away,False,False,True,STATUS_FINAL,31.0,34.0,False,37517,Navy-Marine Corps Memorial Stadium
2025,401760386,2025-10-11 19:30:00+00:00,7,2005,Air Force,Mountain West,2439,UNLV,away,False,False,True,STATUS_FINAL,48.0,51.0,False,32932,Allegiant Stadium
2025,401760392,2025-10-18 19:30:00+00:00,8,2005,Air Force,Mountain West,2751,Wyoming,home,False,False,True,STATUS_FINAL,24.0,21.0,True,23401,Falcon Stadium
2025,401760401,2025-11-01 16:00:00+00:00,10,2005,Air Force,Mountain West,349,Army,home,False,False,True,STATUS_FINAL,17.0,20.0,False,39441,Falcon Stadium
2025,401760406,2025-11-08 23:00:00+00:00,11,2005,Air Force,Mountain West,23,San José State,away,False,False,True,STATUS_FINAL,26.0,16.0,True,13637,CEFCU Stadium
2025,401757174,2025-11-15 17:00:00+00:00,12,2005,Air Force,Mountain West,41,UConn,away,False,False,True,STATUS_FINAL,16.0,26.0,False,31457,Pratt & Whitney Stadium
2025,401760415,2025-11-23 00:00:00+00:00,13,2005,Air Force,Mountain West,167,New Mexico,home,False,False,True,STATUS_FINAL,3.0,20.0,False,20218,Falcon Stadium
2025,401760421,2025-11-28 20:00:00+00:00,14,2005,Air Force,Mountain West,36,Colorado State,away,False,False,True,STATUS_FINAL,42.0,21.0,True,25873,Canvas Stadium
2025,401762789,2025-08-28 23:00:00+00:00,1,2006,Akron,MAC,2751,Wyoming,home,False,False,True,STATUS_FINAL,0.0,10.0,False,9138,InfoCision Stadium
2025,401752810,2025-09-06 23:30:00+00:00,2,2006,Akron,MAC,158,Nebraska,away,False,False,True,STATUS_FINAL,0.0,68.0,False,86439,"Memorial Stadium (Lincoln, NE)"
