season,game_id,date,week,team_id,school,conference,opponent_id,opponent,home_away,neutral_site,conference_game,completed,status,points_for,points_against,won,attendance,venue
2023,401532570,2023-09-02 17:00:00+00:00,1,2005,Air Force,Mountain West,2523,Robert Morris,home,False,False,True,STATUS_FINAL,42.0,7.0,True,30142,Falcon Stadium
2023,401520211,2023-09-10 00:00:00+00:00,2,2005,Air Force,Mountain West,2534,Sam Houston,away,True,False,True,STATUS_FINAL,13.0,3.0,True,25121,Reliant Stadium
2023,401532581,2023-09-16 00:00:00+00:00,3,2005,Air Force,Mountain West,328,Utah State,home,False,False,True,STATUS_FINAL,39.0,21.0,True,18400,Falcon Stadium
2023,401532584,2023-09-23 02:30:00+00:00,4,2005,Air Force,Mountain West,23,San José State,away,False,False,True,STATUS_FINAL,45.0,20.0,True,16124,CEFCU Stadium
2023,401532589,2023-10-01 00:00:00+00:00,5,2005,Air Force,Mountain West,21,San Diego State,home,False,False,True,STATUS_FINAL,49.0,10.0,True,24869,Falcon Stadium
2023,401532598,2023-10-14 23:00:00+00:00,7,2005,Air Force,Mountain West,2751,Wyoming,home,False,False,True,STATUS_FINAL,34.0,27.0,True,28311,Falcon Stadium
2023,401531434,2023-10-21 16:00:00+00:00,8,2005,Air Force,Mountain West,2426,Navy,away,False,False,True,STATUS_FINAL,17.0,6.0,True,38803,Navy-Marine Corps Memorial Stadium
2023,401532603,2023-10-28 23:00:00+00:00,9,2005,Air Force,Mountain West,36,Colorado State,away,False,False,True,STATUS_FINAL,30.0,13.0,True,22570,Canvas Stadium
2023,401520361,2023-11-04 18:30:00+00:00,10,2005,Air Force,Mountain West,349,Army,home,True,False,True,STATUS_FINAL,3.0,23.0,False,52401,Empower Field at Mile High
2023,401532613,2023-11-12 04:00:00+00:00,11,2005,Air Force,Mountain West,62,Hawai'i,away,False,False,True,STATUS_FINAL,13.0,27.0,False,12742,Clarence T.C. Ching Athletics Complex
2023,401532624,2023-11-18 20:30:00+00:00,12,2005,Air Force,Mountain West,2439,UNLV,home,False,False,True,STATUS_FINAL,27.0,31.0,False,23574,Falcon Stadium
2023,401532625,2023-11-24 21:00:00+00:00,13,2005,Air Force,Mountain West,68,Boise State,away,False,False,True,STATUS_FINAL,19.0,27.0,False,36390,Albertsons Stadium
2023,401531387,2023-09-02 18:00:00+00:00,1,2006,Akron,MAC,218,Temple,away,False,False,True,STATUS_FINAL,21.0,24.0,False,12456,Lincoln Financial Field
2023,401532399,2023-09-09 22:00:00+00:00,2,2006,Akron,MAC,2415,Morgan State,home,False,False,True,STATUS_FINAL,24.0,21.0,True,8213,InfoCision Stadium
2023,401520228,2023-09-16 23:30:00+00:00,3,2006,Akron,MAC,96,Kentucky,away,False,False,True,STATUS_FINAL,3.0,35.0,False,59456,Kroger Field
