fumbles_lost,completion_pct,interceptions_thrown,pass_yards_per_game,passer_rating,rush_yards_per_game,yards_per_carry,sacks,tackles_for_loss,total_tackles,interceptions_caught,points_per_game,team_id,school
0.0,58.8,5.0,216.0,122.48706,167.0,4.6,8.0,18.0,201.0,6.0,21.667,103,Boston College
0.0,66.1,2.0,321.66666,147.04903,106.7,3.4,5.0,9.0,169.0,5.0,31.333,25,California
0.0,62.1,3.0,172.33333,112.4462,125.3,3.7,6.0,10.0,224.0,2.0,20.0,228,Clemson
0.0,56.8,1.0,179.66667,133.15782,229.3,5.3,7.0,10.0,171.0,1.0,27.667,150,Duke
0.0,58.2,4.0,234.66667,139.46886,170.0,4.3,4.0,11.0,190.0,3.0,31.333,52,Florida State
0.0,67.4,2.0,235.66667,147.02882,114.0,3.4,5.0,17.0,223.0,1.0,27.0,59,Georgia Tech
0.0,66.3,0.0,286.33334,185.055,229.0,6.0,3.0,7.0,218.0,3.0,46.0,97,Louisville
0.0,88.8,1.0,358.0,226.34286,236.3,6.4,6.0,10.0,146.0,1.0,51.667,2390,Miami
0.0,66.3,2.0,226.0,144.27933,223.3,6.1,3.0,8.0,193.0,3.0,37.333,152,NC State
0.0,56.0,1.0,211.0,128.38573,155.0,4.9,10.0,14.0,208.0,2.0,23.333,153,North Carolina
0.0,64.6,1.0,271.66666,158.0625,171.3,4.6,8.0,16.0,173.0,3.0,32.667,221,Pittsburgh
0.0,74.8,4.0,368.66666,192.12271,168.3,5.0,5.0,17.0,165.0,1.0,38.0,2567,SMU
0.0,57.1,0.0,231.66667,115.07285,103.0,3.7,2.0,7.0,207.0,2.0,16.667,24,Stanford
0.0,57.6,5.0,268.66666,120.30305,164.0,4.2,8.0,17.0,193.0,2.0,32.333,183,Syracuse
0.0,70.6,1.0,193.66667,187.52942,217.3,4.9,5.0,9.0,219.0,4.0,40.0,258,Virginia
0.0,78.3,0.0,330.66666,173.49652,162.7,4.1,14.0,25.0,168.0,1.0,50.667,259,Virginia Tech
0.0,62.0,1.0,297.66666,151.30888,137.0,4.6,6.0,11.0,268.0,0.0,32.0,154,Wake Forest
0.0,70.8,0.0,103.5,170.54001,394.0,7.3,2.0,4.0,103.0,0.0,41.5,349,Army
0.0,67.3,5.0,237.33333,124.339226,131.7,4.3,3.0,11.0,186.0,2.0,23.667,2429,Charlotte
0.0,55.8,2.0,164.33333,121.50285,120.7,3.5,3.0,10.0,235.0,1.0,18.0,151,East Carolina
0.0,69.7,2.0,288.0,142.3695,72.7,1.9,3.0,10.0,190.0,5.0,25.0,2226,Florida Atlantic
