term,estimate,std_error,t_value,p_value
intercept,-2.8422671936608843,1.4905017780164092,-1.9069196934762687,0.058863331131107595
log10(football_expenses),0.4550291629499042,0.1942113035662174,2.34295921295209,0.020736764479764788
conf[American],0.031159059835292824,0.11887206554165551,0.2621226416257903,0.7936653712947518
conf[Big 12],0.16778003127181954,0.08861045342235156,1.8934564127791476,0.06064638708605713
conf[Big Ten],0.09741691754123506,0.08527507124262156,1.1423844755763142,0.2555131262559972
conf[Conference USA],0.03938829581035265,0.1519057181896525,0.25929435889422425,0.7958416018149147
conf[FBS Independents],0.1989495028062766,0.1859309966110036,1.0700179444662996,0.28670650059779684
conf[MAC],0.06379361376857284,0.15322103698883882,0.4163502285474011,0.6778793559296292
conf[Mountain West],0.031283365843966945,0.14869540054127514,0.2103855649205723,0.8337148778726342
conf[Pac-12],-0.07640631559453355,0.1252265162846434,-0.6101448627769844,0.5428914878753348
conf[SEC],0.14730109203221048,0.08818019566045664,1.6704554909290807,0.09737205499196995
conf[Sun Belt],0.135607785918424,0.1423285352677861,0.9527800287081066,0.34257014515984097
