team_id,school,mascot,display_name,abbreviation,conference,conference_group_id,is_power
98,Western Kentucky,Hilltoppers,Western Kentucky Hilltoppers,WKU,Conference USA,12,False
87,Notre Dame,Fighting Irish,Notre Dame Fighting Irish,ND,FBS Independents,18,False
41,UConn,Huskies,UConn Huskies,CONN,FBS Independents,18,False
2006,Akron,Zips,Akron Zips,AKR,MAC,15,False
2050,Ball State,Cardinals,Ball State Cardinals,BALL,MAC,15,False
189,Bowling Green,Falcons,Bowling Green Falcons,BGSU,MAC,15,False
2084,Buffalo,Bulls,Buffalo Bulls,BUFF,MAC,15,False
2117,Central Michigan,Chippewas,Central Michigan Chippewas,CMU,MAC,15,False
2199,Eastern Michigan,Eagles,Eastern Michigan Eagles,EMU,MAC,15,False
2309,Kent State,Golden Flashes,Kent State Golden Flashes,KENT,MAC,15,False
113,Massachusetts,Minutemen,Massachusetts Minutemen,MASS,MAC,15,False
193,Miami (OH),RedHawks,Miami (OH) RedHawks,M-OH,MAC,15,False
195,Ohio,Bobcats,Ohio Bobcats,OHIO,MAC,15,False
16,Sacramento State,Hornets,Sacramento State Hornets,SAC,MAC,15,False
2649,Toledo,Rockets,Toledo Rockets,TOL,MAC,15,False
2711,Western Michigan,Broncos,Western Michigan Broncos,WMU,MAC,15,False
2005,Air Force,Falcons,Air Force Falcons,AFA,Mountain West,17,False
62,Hawai'i,Rainbow Warriors,Hawai'i Rainbow Warriors,HAW,Mountain West,17,False
2440,Nevada,Wolf Pack,Nevada Wolf Pack,NEV,Mountain West,17,False
167,New Mexico,Lobos,New Mexico Lobos,UNM,Mountain West,17,False
2449,North Dakota State,Bison,North Dakota State Bison,NDSU,Mountain West,17,False
2459,Northern Illinois,Huskies,Northern Illinois Huskies,NIU,Mountain West,17,False
23,San José State,Spartans,San José State Spartans,SJSU,Mountain West,17,False
2439,UNLV,Rebels,UNLV Rebels,UNLV,Mountain West,17,False
2638,UTEP,Miners,UTEP Miners,UTEP,Mountain West,17,False
2751,Wyoming,Cowboys,Wyoming Cowboys,WYO,Mountain West,17,False
68,Boise State,Broncos,Boise State Broncos,BOIS,Pac-12,9,False
36,Colorado State,Rams,Colorado State Rams,CSU,Pac-12,9,False
278,Fresno State,Bulldogs,Fresno State Bulldogs,FRES,Pac-12,9,False
204,Oregon State,Beavers,Oregon State Beavers,ORST,Pac-12,9,False
21,San Diego State,Aztecs,San Diego State Aztecs,SDSU,Pac-12,9,False
326,Texas State,Bobcats,Texas State Bobcats,TXST,Pac-12,9,False
328,Utah State,Aggies,Utah State Aggies,USU,Pac-12,9,False
265,Washington State,Cougars,Washington State Cougars,WSU,Pac-12,9,False
333,Alabama,Crimson Tide,Alabama Crimson Tide,ALA,SEC,8,True
8,Arkansas,Razorbacks,Arkansas Razorbacks,ARK,SEC,8,True
2,Auburn,Tigers,Auburn Tigers,AUB,SEC,8,True
57,Florida,Gators,Florida Gators,FLA,SEC,8,True
61,Georgia,Bulldogs,Georgia Bulldogs,UGA,SEC,8,True
96,Kentucky,Wildcats,Kentucky Wildcats,UK,SEC,8,True
99,LSU,Tigers,LSU Tigers,LSU,SEC,8,True
344,Mississippi State,Bulldogs,Mississippi State Bulldogs,MSST,SEC,8,True
142,Missouri,Tigers,Missouri Tigers,MIZ,SEC,8,True
201,Oklahoma,Sooners,Oklahoma Sooners,OU,SEC,8,True
145,Ole Miss,Rebels,Ole Miss Rebels,MISS,SEC,8,True
2579,South Carolina,Gamecocks,South Carolina Gamecocks,SC,SEC,8,True
2633,Tennessee,Volunteers,Tennessee Volunteers,TENN,SEC,8,True
251,Texas,Longhorns,Texas Longhorns,TEX,SEC,8,True
245,Texas A&M,Aggies,Texas A&M Aggies,TA&M,SEC,8,True
238,Vanderbilt,Commodores,Vanderbilt Commodores,VAN,SEC,8,True
2026,App State,Mountaineers,App State Mountaineers,APP,Sun Belt,37,False
2032,Arkansas State,Red Wolves,Arkansas State Red Wolves,ARST,Sun Belt,37,False
324,Coastal Carolina,Chanticleers,Coastal Carolina Chanticleers,CCU,Sun Belt,37,False
290,Georgia Southern,Eagles,Georgia Southern Eagles,GASO,Sun Belt,37,False
2247,Georgia State,Panthers,Georgia State Panthers,GAST,Sun Belt,37,False
256,James Madison,Dukes,James Madison Dukes,JMU,Sun Belt,37,False
309,Louisiana,Ragin' Cajuns,Louisiana Ragin' Cajuns,UL,Sun Belt,37,False
2348,Louisiana Tech,Bulldogs,Louisiana Tech Bulldogs,LT,Sun Belt,37,False
276,Marshall,Thundering Herd,Marshall Thundering Herd,MRSH,Sun Belt,37,False
295,Old Dominion,Monarchs,Old Dominion Monarchs,ODU,Sun Belt,37,False
6,South Alabama,Jaguars,South Alabama Jaguars,USA,Sun Belt,37,False
2572,Southern Miss,Golden Eagles,Southern Miss Golden Eagles,USM,Sun Belt,37,False
2653,Troy,Trojans,Troy Trojans,TROY,Sun Belt,37,False
2433,UL Monroe,Warhawks,UL Monroe Warhawks,ULM,Sun Belt,37,False
