team_id,school,mascot,display_name,abbreviation,conference,conference_group_id,is_power
103,Boston College,Eagles,Boston College Eagles,BC,ACC,1,True
25,California,Golden Bears,California Golden Bears,CAL,ACC,1,True
228,Clemson,Tigers,Clemson Tigers,CLEM,ACC,1,True
150,Duke,Blue Devils,Duke Blue Devils,DUKE,ACC,1,True
52,Florida State,Seminoles,Florida State Seminoles,FSU,ACC,1,True
59,Georgia Tech,Yellow Jackets,Georgia Tech Yellow Jackets,GT,ACC,1,True
97,Louisville,Cardinals,Louisville Cardinals,LOU,ACC,1,True
2390,Miami,Hurricanes,Miami Hurricanes,MIA,ACC,1,True
152,NC State,Wolfpack,NC State Wolfpack,NCSU,ACC,1,True
153,North Carolina,Tar Heels,North Carolina Tar Heels,UNC,ACC,1,True
221,Pittsburgh,Panthers,Pittsburgh Panthers,PITT,ACC,1,True
2567,SMU,Mustangs,SMU Mustangs,SMU,ACC,1,True
24,Stanford,Cardinal,Stanford Cardinal,STAN,ACC,1,True
183,Syracuse,Orange,Syracuse Orange,SYR,ACC,1,True
258,Virginia,Cavaliers,Virginia Cavaliers,UVA,ACC,1,True
259,Virginia Tech,Hokies,Virginia Tech Hokies,VT,ACC,1,True
154,Wake Forest,Demon Deacons,Wake Forest Demon Deacons,WAKE,ACC,1,True
349,Army,Black Knights,Army Black Knights,ARMY,American,151,False
2429,Charlotte,49ers,Charlotte 49ers,CLT,American,151,False
151,East Carolina,Pirates,East Carolina Pirates,ECU,American,151,False
2226,Florida Atlantic,Owls,Florida Atlantic Owls,FAU,American,151,False
235,Memphis,Tigers,Memphis Tigers,MEM,American,151,False
2426,Navy,Midshipmen,Navy Midshipmen,NAVY,American,151,False
249,North Texas,Mean Green,North Texas Mean Green,UNT,American,151,False
242,Rice,Owls,Rice Owls,RICE,American,151,False
58,South Florida,Bulls,South Florida Bulls,USF,American,151,False
218,Temple,Owls,Temple Owls,TEM,American,151,False
2655,Tulane,Green Wave,Tulane Green Wave,TULN,American,151,False
202,Tulsa,Golden Hurricane,Tulsa Golden Hurricane,TLSA,American,151,False
5,UAB,Blazers,UAB Blazers,UAB,American,151,False
2636,UTSA,Roadrunners,UTSA Roadrunners,UTSA,American,151,False
12,Arizona,Wildcats,Arizona Wildcats,ARIZ,Big 12,4,True
9,Arizona State,Sun Devils,Arizona State Sun Devils,ASU,Big 12,4,True
252,BYU,Cougars,BYU Cougars,BYU,Big 12,4,True
239,Baylor,Bears,Baylor Bears,BAY,Big 12,4,True
2132,Cincinnati,Bearcats,Cincinnati Bearcats,CIN,Big 12,4,True
38,Colorado,Buffaloes,Colorado Buffaloes,COLO,Big 12,4,True
248,Houston,Cougars,Houston Cougars,HOU,Big 12,4,True
66,Iowa State,Cyclones,Iowa State Cyclones,ISU,Big 12,4,True
2305,Kansas,Jayhawks,Kansas Jayhawks,KU,Big 12,4,True
2306,Kansas State,Wildcats,Kansas State Wildcats,KSU,Big 12,4,True
197,Oklahoma State,Cowboys,Oklahoma State Cowboys,OKST,Big 12,4,True
2628,TCU,Horned Frogs,TCU Horned Frogs,TCU,Big 12,4,True
2641,Texas Tech,Red Raiders,Texas Tech Red Raiders,TTU,Big 12,4,True
2116,UCF,Knights,UCF Knights,UCF,Big 12,4,True
254,Utah,Utes,Utah Utes,UTAH,Big 12,4,True
277,West Virginia,Mountaineers,West Virginia Mountaineers,WVU,Big 12,4,True
356,Illinois,Fighting Illini,Illinois Fighting Illini,ILL,Big Ten,5,True
84,Indiana,Hoosiers,Indiana Hoosiers,IU,Big Ten,5,True
2294,Iowa,Hawkeyes,Iowa Hawkeyes,IOWA,Big Ten,5,True
120,Maryland,Terrapins,Maryland Terrapins,MD,Big Ten,5,True
130,Michigan,Wolverines,Michigan Wolverines,MICH,Big Ten,5,True
127,Michigan State,Spartans,Michigan State Spartans,MSU,Big Ten,5,True
135,Minnesota,Golden Gophers,Minnesota Golden Gophers,MINN,Big Ten,5,True
158,Nebraska,Cornhuskers,Nebraska Cornhuskers,NEB,Big Ten,5,True
77,Northwestern,Wildcats,Northwestern Wildcats,NU,Big Ten,5,True
194,Ohio State,Buckeyes,Ohio State Buckeyes,OSU,Big Ten,5,True
2483,Oregon,Ducks,Oregon Ducks,ORE,Big Ten,5,True
213,Penn State,Nittany Lions,Penn State Nittany Lions,PSU,Big Ten,5,True
2509,Purdue,Boilermakers,Purdue Boilermakers,PUR,Big Ten,5,True
164,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,RUTG,Big Ten,5,True
26,UCLA,Bruins,UCLA Bruins,UCLA,Big Ten,5,True
30,USC,Trojans,USC Trojans,USC,Big Ten,5,True
264,Washington,Huskies,Washington Huskies,WASH,Big Ten,5,True
275,Wisconsin,Badgers,Wisconsin Badgers,WIS,Big Ten,5,True
48,Delaware,Blue Hens,Delaware Blue Hens,DEL,Conference USA,12,False
2229,Florida International,Panthers,Florida International Panthers,FIU,Conference USA,12,False
55,Jacksonville State,Gamecocks,Jacksonville State Gamecocks,JXST,Conference USA,12,False
338,Kennesaw State,Owls,Kennesaw State Owls,KENN,Conference USA,12,False
2335,Liberty,Flames,Liberty Flames,LIB,Conference USA,12,False
2393,Middle Tennessee,Blue Raiders,Middle Tennessee Blue Raiders,MTSU,Conference USA,12,False
2623,Missouri State,Bears,Missouri State Bears,MOST,Conference USA,12,False
166,New Mexico State,Aggies,New Mexico State Aggies,NMSU,Conference USA,12,False
2534,Sam Houston,Bearkats,Sam Houston Bearkats,SHSU,Conference USA,12,False
