fumbles_lost,completion_pct,interceptions_thrown,pass_yards_per_game,passer_rating,rush_yards_per_game,yards_per_carry,sacks,tackles_for_loss,total_tackles,interceptions_caught,points_per_game,team_id,school
5.0,56.268,13.0,189.16667,118.710686,193.0,4.577,12.0,39.0,712.0,8.0,25.0,103,Boston College
13.0,62.818,8.0,225.41667,126.839294,180.25,4.46,30.0,88.0,607.0,14.0,29.167,228,Clemson
6.0,55.183,7.0,180.66667,120.52437,168.917,4.944,27.0,76.0,820.0,9.0,27.75,150,Duke
3.0,61.576,2.0,259.46155,150.69739,156.846,4.666,45.0,96.0,835.0,10.0,36.538,52,Florida State
4.0,61.202,16.0,232.0,139.79942,197.083,5.387,18.0,50.0,776.0,13.0,31.167,59,Georgia Tech
5.0,63.969,12.0,244.0,146.2274,175.308,4.67,34.0,83.0,717.0,12.0,30.923,97,Louisville
8.0,64.938,13.0,264.41666,142.25792,176.75,5.199,34.0,78.0,634.0,12.0,32.083,2390,Miami
3.0,60.0,11.0,196.41667,128.1939,149.917,4.043,33.0,71.0,745.0,17.0,26.667,152,NC State
5.0,63.279,9.0,306.83334,149.5993,197.083,5.175,27.0,70.0,824.0,12.0,36.5,153,North Carolina
9.0,53.333,12.0,216.0,122.73033,101.917,3.435,31.0,83.0,864.0,10.0,20.167,221,Pittsburgh
7.0,62.329,13.0,173.66667,132.58812,185.0,4.549,26.0,72.0,825.0,9.0,25.417,183,Syracuse
6.0,62.626,14.0,250.83333,135.23772,117.917,3.117,11.0,57.0,790.0,8.0,23.25,258,Virginia
8.0,57.143,5.0,210.83333,138.044,175.417,4.699,38.0,88.0,694.0,7.0,28.583,259,Virginia Tech
11.0,60.436,11.0,197.33333,129.94131,130.417,3.344,23.0,70.0,777.0,8.0,20.25,154,Wake Forest
6.0,56.707,16.0,167.75,105.54449,145.0,3.75,20.0,62.0,813.0,11.0,17.5,2429,Charlotte
7.0,53.608,14.0,163.91667,94.9336,113.333,3.532,18.0,84.0,764.0,6.0,17.5,151,East Carolina
2.0,64.32,15.0,215.5,124.983246,115.25,3.748,29.0,87.0,905.0,10.0,23.75,2226,Florida Atlantic
5.0,66.443,10.0,301.66666,151.40158,150.833,4.559,21.0,66.0,744.0,11.0,39.167,235,Memphis
8.0,51.256,5.0,105.666664,116.337715,194.583,4.261,29.0,64.0,812.0,10.0,17.667,2426,Navy
10.0,61.472,9.0,304.66666,147.61664,191.167,5.109,19.0,50.0,795.0,10.0,34.5,249,North Texas
8.0,62.963,11.0,264.16666,146.0926,112.583,3.795,21.0,62.0,762.0,5.0,30.25,242,Rice
5.0,59.952,8.0,285.07693,156.09055,181.077,4.492,47.0,95.0,783.0,11.0,40.154,2567,SMU
9.0,63.702,11.0,270.66666,143.03967,184.667,4.134,21.0,88.0,820.0,12.0,30.667,58,South Florida
9.0,55.709,16.0,276.66666,119.24394,96.25,3.489,22.0,67.0,844.0,3.0,21.083,218,Temple
10.0,62.248,7.0,222.38461,151.9696,156.769,4.126,34.0,82.0,796.0,17.0,26.769,2655,Tulane
5.0,56.886,19.0,204.66667,127.03368,181.083,4.123,21.0,64.0,838.0,10.0,23.417,202,Tulsa
7.0,71.663,13.0,288.91666,150.77695,161.083,4.538,27.0,49.0,835.0,10.0,29.917,5,UAB
7.0,64.578,12.0,249.75,137.74796,174.833,4.417,40.0,90.0,776.0,9.0,31.833,2636,UTSA
10.0,55.556,9.0,205.41667,117.46666,104.333,3.478,11.0,50.0,850.0,14.0,23.083,252,BYU
8.0,59.502,7.0,263.0,127.509094,114.833,3.337,18.0,59.0,685.0,7.0,23.083,239,Baylor
6.0,60.556,11.0,209.0,132.2168,217.083,5.039,18.0,68.0,712.0,8.0,24.083,2132,Cincinnati
2.0,63.971,13.0,241.5,136.67596,118.667,3.967,26.0,66.0,808.0,9.0,23.667,248,Houston
3.0,64.223,8.0,228.25,146.35464,129.917,4.307,21.0,63.0,803.0,16.0,26.25,66,Iowa State
6.0,63.958,8.0,222.66667,158.60619,211.333,5.513,25.0,70.0,721.0,12.0,33.917,2305,Kansas
2.0,61.772,10.0,246.41667,142.9828,199.667,4.86,24.0,73.0,664.0,12.0,37.667,2306,Kansas State
8.0,69.608,6.0,321.83334,172.06276,180.583,4.45,19.0,88.0,850.0,19.0,43.167,201,Oklahoma
5.0,59.423,14.0,264.23077,119.68324,156.923,4.857,25.0,80.0,846.0,12.0,29.462,197,Oklahoma State
4.0,63.419,15.0,312.16666,137.72351,154.5,4.567,26.0,66.0,794.0,8.0,31.333,2628,TCU
7.0,67.824,9.0,286.84616,154.50012,189.077,4.926,32.0,82.0,800.0,16.0,36.0,251,Texas
4.0,60.329,17.0,221.08333,120.9298,165.833,4.554,22.0,56.0,808.0,10.0,26.75,2641,Texas Tech
6.0,63.664,10.0,259.08334,157.8822,233.167,5.653,27.0,64.0,758.0,11.0,32.333,2116,UCF
6.0,53.896,7.0,203.83333,134.27708,234.333,5.256,26.0,73.0,750.0,9.0,31.5,277,West Virginia
