season,school,away_games,mean_tz_shift,eastward_trips,long_eastward_trips,max_tz_shift
2023,Hawai'i,6,2.6666666666666665,6,6,4.0
2023,New Mexico State,8,0.5,5,2,2.0
2023,BYU,6,1.1666666666666667,6,1,2.0
2023,California,6,0.5,2,1,2.0
2023,Fresno State,6,1.0,4,1,3.0
2023,Nevada,6,0.6666666666666666,3,1,2.0
2023,New Mexico,6,0.16666666666666666,2,1,2.0
2023,Oregon,5,0.8,3,1,2.0
2023,San José State,6,0.5,3,1,3.0
2023,UNLV,5,1.0,3,1,3.0
2023,USC,5,1.0,3,1,3.0
2023,UTEP,6,1.0,5,1,2.0
2023,Utah State,5,0.2,2,1,2.0
2023,Washington,5,0.8,2,1,3.0
2023,Akron,7,0.0,0,0,0.0
2023,Alabama,5,0.4,2,0,1.0
2023,App State,7,-0.5714285714285714,0,0,0.0
2023,Arizona,6,-0.3333333333333333,1,0,1.0
2023,Arizona State,4,-0.75,0,0,0.0
2023,Arkansas,4,0.25,1,0,1.0
2023,Arkansas State,6,0.3333333333333333,2,0,1.0
2023,Auburn,5,-0.4,0,0,0.0
2023,Ball State,6,-0.16666666666666666,0,0,0.0
2023,Baylor,4,0.5,2,0,1.0
2023,Boise State,7,-0.42857142857142855,1,0,1.0
2023,Boston College,4,0.0,0,0,0.0
2023,Bowling Green,7,0.0,0,0,0.0
2023,Buffalo,6,-0.3333333333333333,0,0,0.0
2023,Central Michigan,7,-0.14285714285714285,0,0,0.0
2023,Charlotte,6,-0.3333333333333333,0,0,0.0
2023,Cincinnati,5,-0.8,0,0,0.0
2023,Clemson,5,0.0,0,0,0.0
2023,Coastal Carolina,4,-1.0,0,0,0.0
2023,Colorado,6,-0.3333333333333333,1,0,1.0
2023,Colorado State,6,-0.5,1,0,1.0
2023,Duke,5,0.0,0,0,0.0
2023,East Carolina,4,-0.5,0,0,0.0
2023,Eastern Michigan,6,-0.5,0,0,0.0
2023,Florida,5,-0.8,0,0,0.0
2023,Florida Atlantic,6,-0.5,0,0,0.0
2023,Florida International,6,-1.0,0,0,0.0
2023,Florida State,5,0.0,0,0,0.0
2023,Georgia,4,-0.5,0,0,0.0
2023,Georgia Southern,5,-0.4,0,0,0.0
2023,Georgia State,6,-0.3333333333333333,0,0,0.0
2023,Georgia Tech,5,-0.2,0,0,0.0
2023,Houston,5,0.2,1,0,1.0
