fumbles_lost,completion_pct,interceptions_thrown,pass_yards_per_game,passer_rating,rush_yards_per_game,yards_per_carry,sacks,tackles_for_loss,total_tackles,interceptions_caught,points_per_game,team_id,school
8.0,62.63,7.0,190.83333,151.75244,176.333,4.207,30.0,65.0,760.0,16.0,29.25,103,Boston College
3.0,66.588,7.0,266.33334,138.88551,116.5,3.486,32.0,70.0,774.0,17.0,26.25,25,California
3.0,62.245,6.0,274.07693,143.77136,180.846,5.236,33.0,88.0,815.0,15.0,37.385,228,Clemson
6.0,60.427,12.0,245.0,133.59355,96.5,3.235,41.0,110.0,942.0,12.0,28.333,150,Duke
9.0,50.423,13.0,180.33333,104.53075,89.917,2.854,27.0,74.0,821.0,4.0,15.583,52,Florida State
2.0,64.38,6.0,240.33333,137.31956,186.75,4.925,17.0,67.0,682.0,5.0,28.417,59,Georgia Tech
5.0,63.433,6.0,272.41666,147.63638,183.333,5.598,29.0,76.0,796.0,9.0,37.583,97,Louisville
6.0,68.202,7.0,359.25,172.0456,179.0,5.452,35.0,78.0,667.0,14.0,44.5,2390,Miami
10.0,64.658,12.0,232.83333,138.65796,140.75,4.376,24.0,81.0,778.0,8.0,29.167,152,NC State
8.0,57.937,8.0,233.91667,130.92467,189.5,4.859,39.0,73.0,762.0,9.0,32.333,153,North Carolina
4.0,60.897,13.0,277.5,134.14546,128.5,4.344,40.0,99.0,895.0,12.0,32.167,221,Pittsburgh
12.0,64.662,9.0,267.0,155.55244,176.077,4.524,40.0,95.0,934.0,15.0,39.923,2567,SMU
5.0,60.541,17.0,191.25,119.510254,132.667,3.643,25.0,63.0,759.0,9.0,24.833,24,Stanford
3.0,65.426,12.0,363.08334,143.02809,93.0,2.968,26.0,66.0,666.0,9.0,32.583,183,Syracuse
5.0,61.347,14.0,229.0,125.09728,131.917,3.664,19.0,55.0,822.0,9.0,22.667,258,Virginia
8.0,59.19,8.0,192.75,130.15697,187.083,4.859,36.0,77.0,823.0,14.0,29.667,259,Virginia Tech
8.0,61.386,13.0,240.08333,128.73653,130.583,3.529,20.0,64.0,894.0,11.0,26.167,154,Wake Forest
4.0,56.637,4.0,81.76923,157.77933,298.923,5.551,23.0,57.0,709.0,17.0,32.0,349,Army
7.0,50.142,14.0,224.08333,121.1587,117.083,3.603,18.0,67.0,779.0,10.0,23.667,2429,Charlotte
7.0,60.15,21.0,273.75,140.28494,159.583,4.433,21.0,88.0,949.0,13.0,32.5,151,East Carolina
7.0,58.571,11.0,208.58333,125.5534,189.0,4.952,17.0,70.0,774.0,11.0,27.917,2226,Florida Atlantic
2.0,64.459,6.0,268.5,138.31316,173.583,4.983,25.0,71.0,615.0,10.0,35.167,235,Memphis
8.0,55.422,6.0,126.416664,154.78087,249.333,5.42,25.0,55.0,861.0,17.0,33.167,2426,Navy
7.0,63.006,12.0,322.83334,140.79059,165.833,5.543,22.0,59.0,838.0,10.0,34.0,249,North Texas
9.0,61.297,13.0,239.0,117.9934,113.917,4.542,33.0,80.0,749.0,8.0,22.167,242,Rice
