fumbles_lost,completion_pct,interceptions_thrown,pass_yards_per_game,passer_rating,rush_yards_per_game,yards_per_carry,sacks,tackles_for_loss,total_tackles,interceptions_caught,points_per_game,team_id,school
8.0,58.477,9.0,226.83333,123.207184,191.25,5.011,32.0,98.0,842.0,11.0,31.417,58,South Florida
10.0,58.881,14.0,216.0,117.89452,92.75,2.883,15.0,47.0,773.0,9.0,19.583,218,Temple
6.0,65.552,6.0,215.84616,166.86029,205.385,4.944,34.0,77.0,710.0,12.0,37.154,2655,Tulane
11.0,56.621,12.0,238.58333,123.38056,151.083,4.02,19.0,80.0,867.0,9.0,25.833,202,Tulsa
10.0,63.677,16.0,261.58334,133.38005,131.0,4.02,18.0,48.0,838.0,8.0,26.167,5,UAB
8.0,61.555,12.0,285.75,135.05182,161.667,4.227,38.0,104.0,735.0,10.0,32.25,2636,UTSA
7.0,59.954,13.0,247.91667,124.783875,105.833,3.791,21.0,60.0,768.0,8.0,21.75,12,Arizona
3.0,62.275,5.0,224.38461,157.34718,198.846,4.769,21.0,57.0,811.0,15.0,34.462,9,Arizona State
7.0,57.584,11.0,238.0,138.2551,159.417,4.61,16.0,58.0,725.0,20.0,30.917,252,BYU
5.0,61.602,9.0,246.0,151.56845,188.5,4.939,23.0,66.0,758.0,14.0,34.667,239,Baylor
11.0,63.797,7.0,236.5,135.64497,184.083,5.173,21.0,66.0,765.0,5.0,25.167,2132,Cincinnati
5.0,73.42,8.0,327.16666,166.9426,70.417,2.624,37.0,87.0,803.0,12.0,34.5,38,Colorado
10.0,65.0,17.0,152.66667,118.426346,134.833,3.763,20.0,67.0,741.0,12.0,14.0,248,Houston
5.0,58.352,10.0,254.61539,134.01086,161.692,4.334,16.0,66.0,735.0,14.0,31.154,66,Iowa State
5.0,57.516,12.0,208.75,134.61087,212.083,5.533,28.0,69.0,685.0,12.0,29.667,2305,Kansas
6.0,58.64,9.0,212.75,134.85536,204.5,5.857,31.0,77.0,679.0,9.0,29.917,2306,Kansas State
6.0,59.465,17.0,262.25,126.20289,111.75,3.746,25.0,66.0,786.0,12.0,27.167,197,Oklahoma State
11.0,67.181,10.0,317.58334,151.45639,114.25,3.736,23.0,58.0,801.0,8.0,33.583,2628,TCU
10.0,62.948,9.0,298.08334,138.93312,161.833,4.444,19.0,62.0,818.0,14.0,39.583,2641,Texas Tech
8.0,58.199,11.0,199.66667,130.6939,248.083,5.769,22.0,83.0,769.0,9.0,30.417,2116,UCF
5.0,55.587,17.0,199.41667,120.670364,130.417,3.883,24.0,77.5,744.0,12.0,23.25,254,Utah
4.0,59.517,13.0,200.5,130.66821,194.167,4.726,20.0,58.0,810.0,5.0,29.0,277,West Virginia
7.0,60.423,5.0,214.33333,143.60555,151.167,4.35,29.0,50.0,777.0,12.0,28.917,356,Illinois
3.0,69.113,5.0,265.16666,179.0798,173.583,4.489,34.0,86.0,768.0,14.0,43.333,84,Indiana
4.0,61.57,7.0,131.66667,122.90032,199.833,5.179,27.0,58.0,768.0,16.0,28.0,2294,Iowa
7.0,61.092,12.0,133.58333,111.245476,160.667,4.432,31.0,73.0,686.0,11.0,22.25,130,Michigan
7.0,60.057,12.0,218.08333,127.68957,115.333,3.513,19.0,66.0,717.0,9.0,19.333,127,Michigan State
5.0,66.404,5.0,221.0,137.84296,111.333,3.63,23.0,57.0,736.0,16.0,26.167,135,Minnesota
6.0,65.594,11.0,228.08333,126.859985,130.583,3.776,27.0,74.0,704.0,11.0,23.833,158,Nebraska
7.0,53.708,11.0,185.91667,101.92033,98.5,3.33,23.0,57.0,757.0,10.0,17.833,77,Northwestern
4.0,70.349,8.0,254.33333,168.04156,169.167,5.012,35.0,78.0,731.0,9.0,37.5,194,Ohio State
5.0,73.206,6.0,278.0,165.06766,171.846,4.743,40.0,81.0,761.0,12.0,37.923,2483,Oregon
4.0,69.505,8.0,246.46153,163.52383,202.154,5.341,33.0,90.0,781.0,12.0,35.154,213,Penn State
10.0,57.447,9.0,183.91667,121.36171,115.333,3.988,22.0,62.0,763.0,4.0,17.75,2509,Purdue
2.0,54.821,6.0,204.91667,123.87114,176.25,4.397,20.0,48.0,760.0,7.0,27.917,164,Rutgers
6.0,65.075,11.0,242.16667,134.97926,86.583,3.074,22.0,64.0,677.0,10.0,18.417,26,UCLA
6.0,63.232,12.0,291.66666,134.44705,148.667,5.325,20.0,51.0,763.0,10.0,29.75,30,USC
4.0,71.688,7.0,252.33333,149.54657,131.333,4.072,20.0,43.0,760.0,8.0,22.5,264,Washington
8.0,56.986,10.0,196.66667,118.47793,153.667,4.37,17.0,42.0,730.0,4.0,22.583,275,Wisconsin
8.0,61.677,11.0,229.41667,148.04477,120.583,3.608,18.0,47.0,898.0,11.0,26.333,2229,Florida International
7.0,60.0,6.0,177.07692,140.09183,267.308,5.687,22.0,74.0,1022.0,11.0,36.692,55,Jacksonville State
4.0,52.525,14.0,136.33333,96.03086,114.583,3.042,22.0,58.0,867.0,4.0,16.5,338,Kennesaw State
9.0,56.343,6.0,175.81818,130.94955,259.455,5.629,19.0,60.0,717.0,8.0,30.909,2335,Liberty
13.0,62.953,7.0,228.5,134.38919,115.083,2.989,21.0,67.0,758.0,5.0,22.167,2348,Louisiana Tech
9.0,63.785,10.0,261.08334,132.93744,90.5,3.242,20.0,55.0,836.0,5.0,18.083,2393,Middle Tennessee
11.0,44.063,12.0,143.16667,94.0376,180.0,4.364,14.0,45.0,780.0,9.0,22.25,166,New Mexico State
5.0,60.248,9.0,164.41667,120.472626,190.25,4.349,25.0,67.0,729.0,12.0,23.167,2534,Sam Houston
7.0,61.096,12.0,200.0,123.31163,120.75,3.308,36.0,84.0,916.0,11.0,19.5,2638,UTEP
9.0,65.893,12.0,261.76923,146.5586,116.462,3.605,22.0,64.0,919.0,10.0,26.923,98,Western Kentucky
4.0,57.187,6.0,181.75,123.67344,163.5,4.062,16.0,49.0,811.0,6.0,22.5,113,Massachusetts
7.0,65.951,5.0,196.41667,142.84813,224.833,6.304,30.0,61.0,765.0,17.0,40.833,87,Notre Dame
7.0,55.376,9.0,202.33333,125.76802,198.333,5.064,21.0,66.0,869.0,9.0,32.333,41,UConn
10.0,55.847,10.0,232.41667,119.58483,100.333,3.48,18.0,59.0,844.0,3.0,20.583,2006,Akron
3.0,63.927,11.0,245.0,134.87483,102.833,3.308,20.0,55.0,756.0,8.0,25.333,2050,Ball State
4.0,65.854,6.0,224.58333,138.26454,144.417,4.322,29.0,64.0,771.0,11.0,26.75,189,Bowling Green
7.0,56.402,6.0,190.41667,130.37425,164.667,4.143,30.0,83.0,877.0,12.0,29.083,2084,Buffalo
10.0,55.298,12.0,163.41667,113.91107,168.917,4.535,31.0,93.0,792.0,2.0,22.833,2117,Central Michigan
7.0,59.856,10.0,236.0,125.72078,141.833,3.568,25.0,72.0,836.0,5.0,25.917,2199,Eastern Michigan
7.0,47.279,13.0,156.33333,112.23947,76.917,2.361,18.0,56.0,907.0,4.0,13.917,2309,Kent State
4.0,56.684,12.0,220.0,134.7949,129.0,4.425,30.0,69.0,926.0,11.0,22.615,193,Miami (OH)
9.0,57.941,7.0,176.08333,118.64665,207.333,4.84,34.0,70.0,714.0,8.0,24.25,2459,Northern Illinois
9.0,62.461,11.0,187.6923,134.74992,212.154,5.223,31.0,84.0,824.0,10.0,29.231,195,Ohio
10.0,62.035,7.0,246.16667,141.42331,120.333,3.513,28.0,81.0,868.0,10.0,26.917,2649,Toledo
4.0,65.635,9.0,187.0,141.67148,183.0,4.915,19.0,53.0,881.0,8.0,29.385,2711,Western Michigan
5.0,44.928,10.0,89.75,107.94612,224.0,3.994,18.0,52.0,675.0,4.0,19.083,2005,Air Force
4.0,62.632,4.0,219.61539,142.74046,250.538,6.324,51.0,104.0,747.0,7.0,39.077,68,Boise State
8.0,61.739,8.0,211.0,133.09642,170.417,4.723,15.0,56.0,861.0,10.0,25.0,36,Colorado State
3.0,69.727,13.0,245.08333,140.13652,96.583,3.256,22.0,65.0,819.0,14.0,26.583,278,Fresno State
4.0,59.583,15.0,268.16666,126.83409,97.667,3.447,27.0,68.0,742.0,6.0,22.333,62,Hawai'i
7.0,67.486,8.0,212.61539,143.68195,163.462,4.6,14.0,54.0,833.0,11.0,23.077,2440,Nevada
7.0,57.949,12.0,230.66667,121.563644,253.583,6.673,11.0,52.0,892.0,3.0,34.0,167,New Mexico
1.0,62.4,8.0,205.66667,126.6144,128.917,3.649,32.0,67.0,848.0,7.0,21.667,21,San Diego State
12.0,57.287,15.0,325.25,136.95586,81.417,3.392,23.0,86.0,936.0,20.0,27.5,23,San José State
3.0,59.31,6.0,174.53847,147.06601,251.231,5.612,37.0,89.0,767.0,17.0,36.231,2439,UNLV
5.0,64.192,17.0,269.08334,136.8832,199.25,5.666,28.0,72.0,897.0,13.0,31.917,328,Utah State
5.0,52.161,11.0,189.41667,111.30209,137.833,3.596,15.0,61.0,745.0,6.0,19.5,2751,Wyoming
5.0,60.0,11.0,201.41667,116.70226,189.167,4.69,7.0,45.0,730.0,5.0,24.25,204,Oregon State
5.0,65.169,7.0,268.83334,165.16678,171.583,4.69,21.0,64.0,747.0,14.0,36.75,265,Washington State
8.0,65.421,10.0,240.08333,151.0296,182.667,4.776,23.0,63.0,836.0,16.0,36.333,333,Alabama
13.0,62.087,9.0,269.16666,138.30232,181.75,4.857,25.0,57.0,827.0,8.0,30.25,8,Arkansas
9.0,62.331,13.0,263.91666,151.52852,165.5,4.916,28.0,68.0,711.0,8.0,27.583,2,Auburn
5.0,60.586,12.0,219.08333,142.97922,156.0,4.489,39.0,82.0,918.0,11.0,28.417,57,Florida
5.0,65.696,13.0,284.6154,144.11276,129.231,4.2,36.0,86.0,780.0,8.0,34.385,61,Georgia
6.0,53.526,17.0,184.83333,118.20898,145.583,3.944,24.0,69.0,731.0,10.0,21.25,96,Kentucky
4.0,64.0,11.0,315.33334,140.3312,116.583,4.043,33.0,65.0,730.0,5.0,29.833,99,LSU
10.0,58.424,8.0,239.25,136.65083,137.917,3.95,10.0,47.0,1033.0,7.0,25.833,344,Mississippi State
4.0,62.534,5.0,219.91667,130.26105,170.75,4.225,26.0,66.0,751.0,6.0,29.083,142,Missouri
14.0,62.614,6.0,167.58333,124.34934,154.917,3.865,35.0,91.0,802.0,9.0,24.333,201,Oklahoma
6.0,67.254,6.0,343.58334,173.90933,177.833,4.57,52.0,116.0,822.0,11.0,37.5,145,Ole Miss
13.0,65.147,7.0,220.33333,154.42616,188.917,4.376,40.0,84.0,735.0,13.0,31.583,2579,South Carolina
8.0,64.723,7.0,230.91667,148.7087,232.0,5.108,29.0,93.0,763.0,11.0,37.25,2633,Tennessee
11.0,66.295,11.0,281.0,154.92325,164.385,4.461,38.0,95.0,825.0,19.0,35.462,251,Texas
4.0,59.561,9.0,203.5,134.77274,199.5,4.827,24.0,86.0,711.0,13.0,29.833,245,Texas A&M
3.0,58.657,4.0,180.16667,140.99638,139.25,3.824,23.0,63.0,766.0,9.0,26.833,238,Vanderbilt
6.0,55.612,16.0,273.0,131.16264,153.818,4.372,23.0,50.0,761.0,4.0,26.818,2026,App State
8.0,62.044,9.0,227.08333,127.00564,159.333,4.193,18.0,58.0,762.0,14.0,24.833,2032,Arkansas State
6.0,53.776,10.0,204.41667,127.932014,178.667,4.84,28.0,57.0,834.0,10.0,29.833,324,Coastal Carolina
10.0,65.45,7.0,239.91667,136.94438,123.167,3.649,17.0,56.0,786.0,13.0,28.333,290,Georgia Southern
6.0,60.356,13.0,255.75,127.4143,133.25,4.381,18.0,47.0,791.0,9.0,25.833,2247,Georgia State
5.0,60.056,4.0,218.91667,143.42767,189.833,4.806,38.0,81.0,798.0,17.0,36.667,256,James Madison
2.0,66.839,7.0,260.53845,155.73126,170.462,4.914,23.0,54.0,825.0,15.0,33.231,309,Louisiana
5.0,58.258,4.0,181.07692,141.99236,201.692,5.151,36.0,86.0,1015.0,13.0,31.231,276,Marshall
11.0,58.559,9.0,192.91667,128.39664,209.75,5.233,26.0,75.0,972.0,12.0,30.0,295,Old Dominion
6.0,64.962,6.0,243.46153,147.61377,198.846,5.757,21.0,72.0,944.0,16.0,35.769,6,South Alabama
12.0,52.366,17.0,174.91667,104.54346,108.917,3.172,20.0,65.0,805.0,6.0,14.75,2572,Southern Miss
8.0,69.289,13.0,265.5,155.7403,208.833,5.178,33.0,90.0,779.0,7.0,41.583,326,Texas State
7.0,62.832,9.0,213.0,141.30048,155.75,4.277,19.0,76.0,736.0,6.0,26.0,2653,Troy
3.0,54.472,12.0,134.75,114.685295,169.667,4.465,21.0,58.0,854.0,6.0,21.0,2433,UL Monroe
