school,conference,football_expenses,actual,predicted,residual
North Dakota State,Mountain West,8353482.0,1.0,0.3386677654749497,0.6613322345250503
Massachusetts,MAC,13419026.0,1.0,0.4648473379114657,0.5351526620885343
Tulsa,American,20723869.0,1.0,0.5180994674987538,0.4819005325012462
App State,Sun Belt,13288981.0,1.0,0.5347370489105843,0.46526295108941573
James Madison,Sun Belt,16863958.0,1.0,0.5818179296372259,0.4181820703627741
Virginia Tech,ACC,37803976.0,1.0,0.6057333425300873,0.39426665746991274
South Florida,American,33352743.0,1.0,0.6121361213256238,0.3878638786743762
Pittsburgh,ACC,47141722.0,1.0,0.6493560617937537,0.3506439382062463
Duke,ACC,47363558.0,1.0,0.650283810353435,0.34971618964656503
Northwestern,Big Ten,37901761.0,1.0,0.7036607618134534,0.2963392381865466
Kansas State,Big 12,27087822.0,1.0,0.7076418087825478,0.2923581912174522
Fresno State,Pac-12,17708178.0,0.6666666666666666,0.37945698372711645,0.2872096829395502
Delaware,Conference USA,10126804.0,0.6666666666666666,0.3848153464264197,0.28185132024024695
Cincinnati,Big 12,30429185.0,1.0,0.7306281682995639,0.2693718317004361
Colorado State,Pac-12,21007541.0,0.6666666666666666,0.41322075782439693,0.2534459088422697
Mississippi State,SEC,37575575.0,1.0,0.7518368689346504,0.2481631310653496
Indiana,Big Ten,50207544.0,1.0,0.7592241857972271,0.24077581420277294
West Virginia,Big 12,35250569.0,1.0,0.7596935251097436,0.24030647489025636
Iowa,Big Ten,50894414.0,1.0,0.7619093769178997,0.23809062308210027
Western Michigan,MAC,11409469.0,0.6666666666666666,0.43278800266321404,0.23387866400345259
Central Michigan,MAC,11608428.0,0.6666666666666666,0.4362043522280423,0.2304623144386243
Middle Tennessee,Conference USA,13297458.0,0.6666666666666666,0.4386435776678148,0.22802308899885182
Miami,ACC,88117956.0,1.0,0.7729688165078339,0.2270311834921661
UCLA,Big Ten,55205071.0,1.0,0.7779759354349274,0.22202406456507262
Memphis,American,22026675.0,0.75,0.5301477777006349,0.21985222229936507
Texas Tech,Big 12,39745662.0,1.0,0.7834112847180967,0.21658871528190327
Vanderbilt,SEC,44124525.0,1.0,0.7835862594693825,0.21641374053061746
New Mexico,Mountain West,14730964.0,0.6666666666666666,0.45077040046780237,0.21589626619886426
Toledo,MAC,12624282.0,0.6666666666666666,0.45278255491955166,0.21388411174711497
Boise State,Pac-12,25752831.0,0.6666666666666666,0.4534679771825467,0.2131986894841199
Utah,Big 12,41410554.0,1.0,0.791520498526912,0.20847950147308802
Michigan,Big Ten,61663186.0,1.0,0.7998387158182885,0.20016128418171153
Missouri,SEC,49316139.0,1.0,0.8055682745624781,0.19443172543752185
BYU,Big 12,44561032.0,1.0,0.8060105380076314,0.19398946199236855
Florida,SEC,51766013.0,1.0,0.8151492089344625,0.18485079106553748
Troy,Sun Belt,10281345.0,0.6666666666666666,0.48402780362657927,0.18263886304008736
Washington,Big Ten,68921774.0,1.0,0.8218304970287624,0.17816950297123757
UTSA,American,17853035.0,0.6666666666666666,0.4886323331510716,0.17803433351559506
Nebraska,Big Ten,70574668.0,1.0,0.8265138375621128,0.17348616243788717
USC,Big Ten,74014972.0,1.0,0.8359196249802974,0.16408037501970263
Florida Atlantic,American,19330509.0,0.6666666666666666,0.504345051370132,0.16232161529653466
Penn State,Big Ten,77386097.0,1.0,0.8447214198046451,0.1552785801953549
Tennessee,SEC,61240437.0,1.0,0.8483634092697088,0.15163659073029123
Ole Miss,SEC,61846036.0,1.0,0.8503080163606285,0.14969198363937153
Georgia State,Sun Belt,12260120.0,0.6666666666666666,0.5188124117311723,0.1478542549354943
Marshall,Sun Belt,13569649.0,0.6666666666666666,0.5388673184166013,0.12779934825006534
Texas,SEC,70405628.0,1.0,0.8759241141220202,0.1240758858779798
South Alabama,Sun Belt,13932976.0,0.6666666666666666,0.5440889031581264,0.12257776350854022
Georgia,SEC,71107704.0,1.0,0.877884961863237,0.12211503813676305
Liberty,Conference USA,22964576.0,0.6666666666666666,0.546617358593704,0.12004930807296266
Louisiana,Sun Belt,14846554.0,0.6666666666666666,0.5566394143376252,0.11002725232904143
Louisville,ACC,30745125.0,0.6666666666666666,0.5648893716886234,0.10177729497804322
Alabama,SEC,81502191.0,1.0,0.9048466355842373,0.09515336441576272
San José State,Mountain West,11937986.0,0.5,0.40922619105661484,0.09077380894338516
Virginia,ACC,33611796.0,0.6666666666666666,0.5825060331926437,0.08416063347402292
Wake Forest,ACC,39399925.0,0.6666666666666666,0.6139047181713733,0.052761948495293365
Boston College,ACC,41224780.0,0.6666666666666666,0.6228519345546615,0.04381473211200515
Jacksonville State,Conference USA,14998859.0,0.5,0.46243686839776066,0.03756313160223934
Missouri State,Conference USA,6558020.0,0.3333333333333333,0.2989514945969707,0.034381838736362635
SMU,ACC,45315587.0,0.6666666666666666,0.6415487476739665,0.025117918992700106
California,ACC,46721911.0,0.6666666666666666,0.6475883441823265,0.01907832248434016
Notre Dame,FBS Independents,93255797.0,1.0,0.9831172347325605,0.01688276526743948
North Carolina,ACC,49145749.0,0.6666666666666666,0.6575832237708088,0.00908344289585783
Houston,Big 12,23271364.0,0.6666666666666666,0.6776316127268598,-0.01096494606019316
UConn,FBS Independents,20479873.0,0.6666666666666666,0.68354943193411,-0.016882765267443367
Akron,MAC,7630898.0,0.3333333333333333,0.35329905638626213,-0.01996572305292882
Maryland,Big Ten,35502618.0,0.6666666666666666,0.6907383844467385,-0.02407171778007189
Ball State,MAC,7990057.0,0.3333333333333333,0.3623879130973524,-0.029054579764019095
Sam Houston,Conference USA,9740021.0,0.3333333333333333,0.37711966059641044,-0.04378632726307713
Wisconsin,Big Ten,40903448.0,0.6666666666666666,0.7187224683391151,-0.0520558016724485
UTEP,Mountain West,11062136.0,0.3333333333333333,0.3941683333332544,-0.06083499999992109
Minnesota,Big Ten,45452693.0,0.6666666666666666,0.7395626678167391,-0.07289600115007244
Iowa State,Big 12,32337385.0,0.6666666666666666,0.7426475710143379,-0.07598090434767124
Kennesaw State,Conference USA,11495596.0,0.3333333333333333,0.4098688372065902,-0.07653550387325686
Oklahoma State,Big 12,32830617.0,0.6666666666666666,0.745638999814255,-0.07897233314758834
Kent State,MAC,10351311.0,0.3333333333333333,0.41355388547519834,-0.08022055214186502
New Mexico State,Conference USA,11779202.0,0.3333333333333333,0.41468503737246865,-0.08135170403913533
Illinois,Big Ten,48001399.0,0.6666666666666666,0.7503442541577945,-0.08367758749112786
Michigan State,Big Ten,48227813.0,0.6666666666666666,0.7512741850772011,-0.08460751841053449
Texas State,Pac-12,21622408.0,0.3333333333333333,0.41892174454142683,-0.08558841120809352
Ohio,MAC,10812487.0,0.3333333333333333,0.42216769736088056,-0.08883436402754724
Clemson,ACC,81136726.0,0.6666666666666666,0.756657415500555,-0.08999074883388836
San Diego State,Pac-12,22274021.0,0.3333333333333333,0.42478914850217464,-0.09145581516884133
