school,conference,football_expenses,actual,predicted,residual
Nevada,Mountain West,12983551.0,0.3333333333333333,0.4258176568570855,-0.09248432352375219
Miami (OH),MAC,11017434.0,0.3333333333333333,0.42587839613082634,-0.09254506279749303
Wyoming,Mountain West,13091901.0,0.3333333333333333,0.42745995918472435,-0.09412662585139103
UAB,American,13162064.0,0.3333333333333333,0.4283919058483132,-0.0950585725149799
Washington State,Pac-12,22896016.0,0.3333333333333333,0.43023188661157175,-0.09689855327823843
Florida International,Conference USA,12834881.0,0.3333333333333333,0.43164669394472055,-0.09831336061138723
Oregon State,Pac-12,23847865.0,0.3333333333333333,0.43828116350096824,-0.10494783016763493
Hawai'i,Mountain West,13857022.0,0.3333333333333333,0.43868425178920534,-0.10535091845587202
Arizona,Big 12,37795880.0,0.6666666666666666,0.7734710482069596,-0.10680438154029293
UCF,Big 12,38695138.0,0.6666666666666666,0.7781177779816391,-0.11145111131497243
Kentucky,SEC,43281917.0,0.6666666666666666,0.779776047574626,-0.11310938090795941
Baylor,Big 12,41050130.0,0.6666666666666666,0.7897929785687006,-0.12312631190203394
North Texas,American,15382425.0,0.3333333333333333,0.4591977478753533,-0.12586441454201996
Oregon,Big Ten,60847472.0,0.6666666666666666,0.797207090837901,-0.13054042417123435
Colorado,Big 12,42805019.0,0.6666666666666666,0.7980654803504112,-0.13139881368374462
East Carolina,American,16473046.0,0.3333333333333333,0.472734458173806,-0.13940112484047268
Buffalo,MAC,14098031.0,0.3333333333333333,0.4746020105028861,-0.14126867716955277
LSU,SEC,50738587.0,0.6666666666666666,0.8111875664579324,-0.1445208997912658
Sacramento State,MAC,10126065.0,0.25,0.4092062428517895,-0.15920624285178953
Arizona State,Big 12,50352139.0,0.6666666666666666,0.8301556068058145,-0.16348894013914783
South Carolina,SEC,55859501.0,0.6666666666666666,0.8301889851320299,-0.16352231846536325
Southern Miss,Sun Belt,11033253.0,0.3333333333333333,0.49797610578633345,-0.16464277245300013
Louisiana Tech,Sun Belt,11122188.0,0.3333333333333333,0.4995626353952707,-0.16622930206193737
Georgia Southern,Sun Belt,11225441.0,0.3333333333333333,0.5013887492644589,-0.16805541593112555
Auburn,SEC,58724402.0,0.6666666666666666,0.8400729243957912,-0.17340625772912455
Arkansas State,Sun Belt,11536628.0,0.3333333333333333,0.5067924377947226,-0.1734591044613893
Rice,American,19591289.0,0.3333333333333333,0.506993194313142,-0.17365986097980873
Eastern Michigan,MAC,11079719.0,0.25,0.4269924388246964,-0.1769924388246964
Texas A&M,SEC,60230146.0,0.6666666666666666,0.8450761124370598,-0.1784094457703932
UNLV,Mountain West,20854643.0,0.3333333333333333,0.5194668774262632,-0.18613354409292987
TCU,Big 12,59568339.0,0.6666666666666666,0.863371628142168,-0.19670496147550132
Tulane,American,22676121.0,0.3333333333333333,0.5358901646625571,-0.2025568313292238
Oklahoma,SEC,71184826.0,0.6666666666666666,0.8780991768065851,-0.21143251013991848
Ohio State,Big Ten,92359309.0,0.6666666666666666,0.8796757279274732,-0.21300906126080654
Old Dominion,Sun Belt,14787371.0,0.3333333333333333,0.555850078330522,-0.2225167449971887
Temple,American,26295531.0,0.3333333333333333,0.5651545368783082,-0.23182120354497487
Coastal Carolina,Sun Belt,17052582.0,0.3333333333333333,0.5840160092856359,-0.2506826759523026
Stanford,ACC,35992019.0,0.3333333333333333,0.5960269928880817,-0.2626936595547484
NC State,ACC,40535367.0,0.3333333333333333,0.6195191929993329,-0.2861858596659996
Syracuse,ACC,42090055.0,0.3333333333333333,0.6269568193327326,-0.2936234859993993
Georgia Tech,ACC,42709508.0,0.3333333333333333,0.6298440136218191,-0.29651068028848576
Purdue,Big Ten,37193229.0,0.3333333333333333,0.699931568198715,-0.36659823486538173
Utah State,Pac-12,17310081.0,0.0,0.3749636714431519,-0.3749636714431519
Western Kentucky,Conference USA,11040244.0,0.0,0.4018817918638322,-0.4018817918638322
Kansas,Big 12,34516494.0,0.3333333333333333,0.7555348062777338,-0.4222014729444005
Bowling Green,MAC,10984685.0,0.0,0.42529011164786423,-0.42529011164786423
Florida State,ACC,83267924.0,0.3333333333333333,0.7617811612380092,-0.4284478279046759
UL Monroe,Sun Belt,7772886.0,0.0,0.4287564876585028,-0.4287564876585028
Northern Illinois,Mountain West,13199127.0,0.0,0.4290718977434529,-0.4290718977434529
Charlotte,American,15571390.0,0.0,0.4616105745356678,-0.4616105745356678
Arkansas,SEC,57370871.0,0.3333333333333333,0.8354647714285415,-0.5021314380952082
Rutgers,Big Ten,75922954.0,0.0,0.840949298040758,-0.840949298040758
