fumbles_lost,completion_pct,interceptions_thrown,pass_yards_per_game,passer_rating,rush_yards_per_game,yards_per_carry,sacks,tackles_for_loss,total_tackles,interceptions_caught,points_per_game,team_id,school
9.0,63.216,12.0,280.16666,134.66945,103.917,3.308,16.0,46.0,768.0,6.0,25.417,103,Boston College
5.0,63.169,10.0,270.83334,130.76872,76.5,2.571,21.0,58.0,806.0,8.0,24.833,25,California
8.0,65.977,7.0,274.0,142.94424,131.25,4.091,33.0,80.0,737.0,9.0,28.667,228,Clemson
8.0,67.473,5.0,282.15384,154.75404,132.462,4.11,26.0,87.0,892.0,13.0,34.0,150,Duke
10.0,58.997,9.0,253.41667,148.51242,218.667,5.186,31.0,73.0,816.0,12.0,33.0,52,Florida State
7.0,71.469,6.0,263.25,156.09145,203.0,5.6,26.0,62.0,780.0,3.0,32.583,59,Georgia Tech
7.0,63.959,9.0,226.25,130.67642,162.583,5.068,27.0,67.0,767.0,14.0,30.167,97,Louisville
1.0,73.879,10.0,275.83334,165.47583,150.0,4.186,34.0,79.0,658.0,12.0,34.083,2390,Miami
3.0,68.734,10.0,247.75,148.55992,149.083,4.552,18.0,57.0,840.0,8.0,30.25,152,NC State
9.0,63.944,6.0,183.5,124.7537,105.25,3.65,32.0,62.0,794.0,6.0,19.25,153,North Carolina
4.0,62.264,14.0,274.75,142.77084,117.0,3.582,28.0,88.0,832.0,15.0,35.083,221,Pittsburgh
6.0,66.355,10.0,283.5,148.50134,135.5,4.407,34.0,77.0,875.0,17.0,32.917,2567,SMU
5.0,57.289,12.0,222.0,120.19606,84.5,2.587,23.0,59.0,798.0,3.0,19.0,24,Stanford
8.0,56.479,15.0,217.25,116.402985,123.167,3.398,20.0,62.0,720.0,5.0,20.167,183,Syracuse
3.0,63.877,10.0,242.3077,130.8339,184.0,4.718,31.0,66.0,895.0,13.0,32.154,258,Virginia
5.0,56.25,9.0,166.33333,120.55445,182.417,4.908,19.0,59.0,823.0,4.0,21.417,259,Virginia Tech
10.0,56.836,10.0,232.25,127.50958,156.833,4.492,25.0,86.0,899.0,4.0,26.833,154,Wake Forest
5.0,51.852,4.0,78.27273,126.68658,256.909,4.295,12.0,37.0,660.0,7.0,23.182,349,Army
10.0,59.211,13.0,204.0,118.63969,81.75,2.695,14.0,48.0,924.0,7.0,14.333,2429,Charlotte
7.0,65.485,6.0,280.66666,145.13263,184.0,4.271,30.0,94.0,796.0,9.0,33.5,151,East Carolina
9.0,66.151,20.0,340.16666,134.07289,104.5,3.522,23.0,68.0,854.0,3.0,29.5,2226,Florida Atlantic
2.0,68.254,8.0,234.58333,140.54504,186.083,5.122,19.0,79.0,761.0,12.0,34.583,235,Memphis
6.0,58.824,5.0,136.36363,154.05336,298.364,6.055,25.0,51.0,758.0,5.0,32.455,2426,Navy
10.0,69.953,7.0,323.23077,174.31334,181.077,5.03,23.0,70.0,934.0,13.0,44.769,249,North Texas
5.0,66.502,3.0,97.916664,128.42136,213.333,4.245,23.0,60.0,775.0,3.0,19.833,242,Rice
8.0,66.575,7.0,276.25,167.9593,225.417,5.743,29.0,78.0,895.0,14.0,43.0,58,South Florida
2.0,61.671,2.0,197.41667,144.49405,147.417,4.39,16.0,55.0,750.0,7.0,27.833,218,Temple
6.0,62.371,8.0,240.46153,140.38455,170.231,4.601,34.0,81.0,839.0,15.0,29.077,2655,Tulane
10.0,58.924,10.0,222.41667,120.95509,175.5,4.307,23.0,64.0,922.0,7.0,23.167,202,Tulsa
6.0,65.675,15.0,265.58334,135.17519,138.667,4.202,17.0,49.0,827.0,4.0,26.583,5,UAB
5.0,67.386,7.0,243.66667,147.46118,169.917,5.047,22.0,71.0,750.0,9.0,33.75,2636,UTSA
5.0,62.779,7.0,254.41667,144.23372,150.417,4.227,21.0,78.0,815.0,19.0,32.583,12,Arizona
10.0,57.143,8.0,211.08333,121.65302,189.417,4.931,32.0,81.0,796.0,7.0,24.667,9,Arizona State
8.0,63.187,6.0,213.15384,136.5325,184.385,4.728,30.0,70.0,724.0,16.0,31.615,252,BYU
12.0,60.588,12.0,309.58334,137.12643,141.5,4.141,13.0,48.0,729.0,9.0,31.083,239,Baylor
7.0,61.739,5.0,242.41667,157.40894,178.917,5.898,22.0,54.0,855.0,2.0,31.75,2132,Cincinnati
6.0,58.659,11.0,202.83333,125.295,125.583,3.505,13.0,60.0,771.0,6.0,20.917,38,Colorado
4.0,62.941,10.0,215.25,142.22673,175.667,4.191,24.0,54.0,798.0,12.0,28.333,248,Houston
5.0,60.519,9.0,221.41667,134.86594,174.667,4.385,13.0,60.0,720.0,11.0,27.417,66,Iowa State
5.0,61.159,8.0,222.25,143.453,168.25,4.695,25.0,76.0,757.0,4.0,28.083,2305,Kansas
8.0,59.475,7.0,198.75,131.11598,171.333,5.089,28.0,72.0,780.0,13.0,29.417,2306,Kansas State
7.0,57.377,10.0,174.08333,106.171684,118.333,3.515,22.0,67.0,808.0,6.0,14.167,197,Oklahoma State
5.0,65.952,14.0,292.75,152.32932,132.583,3.928,24.0,64.0,802.0,12.0,30.25,2628,TCU
6.0,66.3,8.0,289.3846,156.36519,190.923,4.755,39.0,97.0,821.0,16.0,42.462,2641,Texas Tech
6.0,62.035,12.0,220.75,121.1185,158.0,4.887,27.0,68.0,758.0,9.0,24.333,2116,UCF
7.0,62.865,5.0,208.83333,145.61061,269.75,6.108,31.0,74.0,705.0,14.0,40.917,254,Utah
7.0,58.716,11.0,188.91667,120.31695,160.583,3.685,29.0,80.0,881.0,11.0,21.75,277,West Virginia
5.0,68.343,6.0,239.08333,157.57149,131.167,3.757,25.0,58.0,720.0,6.0,29.333,356,Illinois
1.0,71.429,7.0,251.61539,184.00917,221.154,5.487,39.0,112.0,764.0,17.0,41.923,84,Indiana
5.0,62.121,7.0,137.41667,121.783394,177.75,4.567,21.0,57.0,684.0,11.0,28.917,2294,Iowa
5.0,57.841,9.0,255.66667,118.75597,104.333,4.105,27.0,65.0,838.0,19.0,23.5,120,Maryland
7.0,60.269,7.0,185.75,128.597,213.167,5.513,28.0,72.0,748.0,13.0,27.583,130,Michigan
6.0,63.492,6.0,222.66667,137.15791,122.833,3.779,22.0,55.0,770.0,5.0,24.583,127,Michigan State
1.0,62.803,7.0,193.5,126.72589,103.083,3.596,35.0,84.0,738.0,8.0,23.25,135,Minnesota
4.0,70.0,6.0,228.16667,153.02806,144.667,4.193,19.0,61.0,696.0,6.0,29.25,158,Nebraska
8.0,59.475,12.0,181.75,119.361984,167.083,4.707,18.0,48.0,717.0,8.0,22.5,77,Northwestern
3.0,78.016,6.0,266.76923,181.21219,162.769,4.692,33.0,74.0,716.0,8.0,34.923,194,Ohio State
3.0,72.321,6.0,246.75,167.33176,218.417,5.799,23.0,57.0,746.0,13.0,38.333,2483,Oregon
3.0,66.776,7.0,181.58333,137.57857,177.5,4.908,28.0,74.0,735.0,6.0,31.25,213,Penn State
8.0,58.765,13.0,217.16667,118.62122,126.417,4.035,24.0,64.0,798.0,4.0,18.75,2509,Purdue
4.0,61.741,7.0,266.08334,147.97267,141.0,3.631,11.0,47.0,652.0,5.0,28.667,164,Rutgers
6.0,63.26,7.0,180.25,123.25603,139.583,4.467,10.0,40.0,782.0,4.0,18.167,26,UCLA
6.0,67.179,8.0,297.33334,161.08244,174.25,5.294,28.0,66.0,715.0,11.0,36.5,30,USC
5.0,69.591,8.0,245.83333,158.59949,168.667,4.685,21.0,51.0,687.0,9.0,33.75,264,Washington
4.0,57.721,13.0,136.41667,109.63332,116.667,3.31,32.0,62.0,635.0,5.0,12.833,275,Wisconsin
11.0,62.353,8.0,302.75,133.93895,115.917,3.67,24.0,75.0,811.0,13.0,29.75,48,Delaware
8.0,62.105,11.0,218.66667,129.94858,190.167,5.004,28.0,64.0,743.0,12.0,29.25,2229,Florida International
