money_metric,log_scale,performance_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,r_squared
dept_total_revenue,True,point_margin_per_game,135,0.6009293530119324,1.3044141663949968e-14,0.5757077638863155,2.7834915147546487e-13,0.36111608731133965
dept_total_expenses,True,point_margin_per_game,135,0.595428906464166,2.6013694169703947e-14,0.5672497223993772,7.334320079321757e-13,0.3545355826531126
football_revenue,True,point_margin_per_game,135,0.5915805304976537,4.183884365312621e-14,0.5858949724477174,8.346840503066904e-14,0.34996752406388537
mens_coaching_payroll,True,point_margin_per_game,135,0.5909466598907073,4.52179126188666e-14,0.5752516930218239,2.934852968855651e-13,0.3492179548359833
football_expenses,True,point_margin_per_game,135,0.5699796430428774,5.380977667429699e-13,0.5583648766274868,1.9709328223716627e-12,0.32487679348328596
football_nonoperating_spend,True,point_margin_per_game,135,0.5675169322529328,7.11621930906108e-13,0.5580868441218607,2.0318964887030763e-12,0.3220754683937799
football_spend_per_player,True,point_margin_per_game,135,0.5579670124416612,2.058731971749301e-12,0.5521506062385827,3.867822551716203e-12,0.31132718697307293
dept_total_revenue,True,win_pct,135,0.5576315222382526,2.1357033024038706e-12,0.5480755135912547,5.973336359087742e-12,0.31095291459375085
dept_total_expenses,True,win_pct,135,0.5561633605336962,2.5066441683425183e-12,0.5445095487470462,8.695820719402391e-12,0.3093176836001341
mens_coaching_payroll,True,win_pct,135,0.5494800585946731,5.145750377283639e-12,0.5664775270136606,8.001680507973549e-13,0.30192833479320536
mens_coaching_payroll,True,points_per_game,135,0.5487577605243135,5.5564050099081686e-12,0.5300724096830887,3.805288075668521e-11,0.3011350797356598
dept_total_revenue,True,points_per_game,135,0.5482587714104231,5.858459194176381e-12,0.5169158467127931,1.376615502588653e-10,0.30058768042846656
dept_total_expenses,True,points_per_game,135,0.5459424581881123,7.481791439300346e-12,0.5104936683107189,2.528396032884979e-10,0.2980531676524787
football_revenue,True,points_per_game,135,0.541633921475206,1.1733832757535667e-11,0.5320358937748736,3.125886397192456e-11,0.29336730489260954
football_revenue,True,win_pct,135,0.5371484407300099,1.8619821885986042e-11,0.5473347329287759,6.46034621655182e-12,0.28852844737868094
recruiting_expenses_men,True,point_margin_per_game,135,0.5338293916789989,2.6089892632143007e-11,0.5562942661250615,2.471183796260654e-12,0.28497381942037003
football_expenses,True,win_pct,135,0.5316713974087017,3.242431473713546e-11,0.542662705923004,1.0544511581687573e-11,0.28267447482252167
football_nonoperating_spend,True,win_pct,135,0.5308395167978612,3.5243787767731925e-11,0.542946246107608,1.023780662811185e-11,0.2817905925941868
football_expenses,True,points_per_game,135,0.5299004298161292,3.8711750878046976e-11,0.5159841064356977,1.504737991316877e-10,0.2807944655193184
football_spend_per_player,True,win_pct,135,0.5279430627958386,4.703265291011731e-11,0.5372984321602261,1.8336541163614275e-11,0.27872387755425077
football_nonoperating_spend,True,points_per_game,135,0.5277681523160586,4.785520519715087e-11,0.5176573363573926,1.2822487370258807e-10,0.2785392225991064
avg_head_coach_salary_men,True,point_margin_per_game,135,0.5266852911184776,5.3265939569016796e-11,0.5278154453514228,4.763143799157691e-11,0.2773973958805555
recruiting_expenses_men,True,win_pct,135,0.5202973172817185,9.944060030925363e-11,0.5208531014531954,9.423210086328563e-11,0.2707092983705532
talent_composite,False,points_per_game,19,0.517441460569628,0.023269949257761467,0.49956121097296174,0.029422833290136344,0.26774566511642994
football_spend_per_player,True,points_per_game,135,0.5172191758930762,1.3372278929019174e-10,0.5060520477751407,3.821773565751841e-10,0.2675156759115129
avg_head_coach_salary_men,True,points_per_game,135,0.5153151232197545,1.6037550829070124e-10,0.5166353489853953,1.4140341492020916e-10,0.2655496762189907
recruiting_expenses_men,True,points_per_game,135,0.5135838770701718,1.8901002852992454e-10,0.5201988896786844,1.0039155451040915e-10,0.2637683987864294
dept_total_revenue,True,points_allowed_per_game,135,-0.5092981355397914,2.8274356555776396e-10,-0.4854602994290598,2.405921308826108e-09,0.25938459086430776
dept_total_expenses,True,points_allowed_per_game,135,-0.501578134211062,5.759748530587892e-10,-0.47576187488828303,5.491116820610643e-09,0.2515806247186501
football_revenue,True,points_allowed_per_game,135,-0.49921917558861684,7.133450861284403e-10,-0.4969027817028989,8.786874734087925e-10,0.24921978527537825
mens_coaching_payroll,True,points_allowed_per_game,135,-0.489964315120488,1.6255941464169895e-09,-0.47732055026090786,4.817413631202977e-09,0.24006503009148886
avg_head_coach_salary_men,True,win_pct,135,0.47275272942084257,7.05678355248154e-09,0.4801025017686257,3.807530456946939e-09,0.2234951431748564
football_expenses,True,points_allowed_per_game,135,-0.4718865876613232,7.581777400065139e-09,-0.45961897408072244,2.0511437210278842e-08,0.22267695161464765
football_nonoperating_spend,True,points_allowed_per_game,135,-0.4696697100528424,9.102112224087106e-09,-0.45443314647164507,3.0878611111558315e-08,0.22058963654112107
football_spend_per_player,True,points_allowed_per_game,135,-0.4636541593485991,1.4848972531562194e-08,-0.455245413919351,2.897510132432897e-08,0.21497517948125613
talent_composite,False,point_margin_per_game,19,0.44644242510634086,0.05535386024661254,0.4396665627294505,0.059619611978790656,0.19931083893483076
recruiting_expenses_men,True,points_allowed_per_game,135,-0.4223862103969121,3.3443569253683314e-07,-0.44421028499015736,6.78184070279911e-08,0.1784101107334645
avg_head_coach_salary_men,True,points_allowed_per_game,135,-0.4069946686635003,9.64987697688946e-07,-0.40140891290338393,1.3993961395048642e-06,0.1656446603205124
head_coach_pay,True,points_allowed_per_game,52,-0.36763035147883,0.007336314588128858,-0.3188876329084007,0.021214370033175046,0.13515207532844808
head_coach_pay,True,point_margin_per_game,52,0.3296438673963676,0.0170125805457767,0.29785190048514393,0.03198753954785582,0.10866507931203398
mens_coaching_payroll,True,yards_per_carry,135,0.2832924321779726,0.0008702380125329642,0.2595853132994424,0.002362973288989503,0.08025460212931122
dept_total_revenue,True,yards_per_carry,135,0.2822612995507462,0.0009105696915131247,0.2537881105660679,0.002976859113141367,0.07967144122407607
